author;author_ref;title;pub_date__src;pub_date__frsted;gender;time_slot;word_count
VAJANSKÝ. Svetozár;viaf:12321448;1882;1882;;M;T3;13173
VAJANSKÝ. Svetozár;viaf:12321448;1882;1882;;M;T3;8646
VAJANSKÝ. Svetozár;viaf:12321448;1881;1881;;M;T3;11716
VAJANSKÝ. Svetozár;viaf:12321448;1943;1943;;M;T4;49688
VAJANSKÝ. Svetozár;viaf:12321448;1881;1881;;M;T3;8360
VAJANSKÝ. Svetozár;viaf:12321448;1881;1881;;M;T3;13709
VAJANSKÝ. Svetozár;viaf:12321448;1943;1943;;M;T4;71170
VANSOVÁ. Terézia;viaf:15567322;1885;1885;;F;T3;3903
VANSOVÁ. Terézia;viaf:15567322;1885;1885;;F;T3;2910
MARŠALL-PETRVOSKÝ. Gustáv;viaf:42640171;2012;2012;;M;T3;6002
MARŠALL-PETRVOSKÝ. Gustáv;viaf:42640171;2012;2012;;M;T3;2173
MARŠALL-PETRVOSKÝ. Gustáv;viaf:42640171;2012;2012;;M;T3;2878
MARŠALL-PETRVOSKÝ. Gustáv;viaf:42640171;2012;2012;;M;T3;1415
MARŠALL-PETRVOSKÝ. Gustáv;viaf:42640171;2012;2012;;M;T3;7095
MARŠALL-PETRVOSKÝ. Gustáv;viaf:42640171;2012;2012;;M;T3;1102
MARŠALL-PETRVOSKÝ. Gustáv;viaf:42640171;2012;2012;;M;T3;743
MITROVSKÝ. Milan;viaf:21719933;1921;1921;;M;T4;10050
MARÓTHY-ŠOLTÉSOVÁ. Elena;viaf:47573651;1961;1961;;F;T4;6084
MARTIŠ. Albert;viaf:47574417;1921;1921;;M;T4;10020
BEBLAVÝ. Pavol;viaf:73407810;1885;1885;;M;T3;6142
BEBLAVÝ. Pavol;viaf:73407810;1885;1885;;M;T3;5859
BENCÚR. Matej;viaf:10637721;2009;2009;;M;T4;58857
BENCÚR. Matej;viaf:10637721;2009;2009;;M;T3;9220
BENCÚR. Matej;viaf:10637721;2012;2012;;M;T3;4846
BENCÚR. Matej;viaf:10637721;2012;2012;;M;T3;6468
BENCÚR. Matej;viaf:10637721;2009;2009;;M;T3;8307
BENCÚR. Matej;viaf:10637721;2012;2012;;M;T3;1199
BENCÚR. Matej;viaf:10637721;2012;2012;;M;T3;11217
BIELEK. Anton;viaf:244065805;1885;1885;;M;T3;1233
BIELEK. Anton;viaf:244065805;1972;1972;;M;T3;14631
BELLA. Ondrej;viaf:84955514;1885;1885;;M;T3;4642
BODICKÝ. Samuel;viaf:84143439;2012;2012;;M;T2;4320
BODICKÝ. Samuel;viaf:84143439;2012;2012;;M;T3;4169
BODICKÝ. Samuel;viaf:84143439;2012;2012;;M;T3;2977
BANŠELL. Koloman;viaf:8188529;2012;2012;;M;T2;4822
BANŠELL. Koloman;viaf:8188529;2012;2012;;M;T2;3398
BANŠELL. Koloman;viaf:8188529;2012;2012;;M;T2;2391
BANŠELL. Koloman;viaf:8188529;2012;2012;;M;T2;4722
NÁDAŠI-JÉGÉ. Ladislav;viaf:45478401;1968;1968;;M;T4;34383
NÁDAŠI-JÉGÉ. Ladislav;viaf:45478401;1980;1980;;M;T4;6757
NÁDAŠI-JÉGÉ. Ladislav;viaf:45478401;1973;1973;;M;T4;65620
NÁDAŠI-JÉGÉ. Ladislav;viaf:45478401;1980;1980;;M;T4;17425
NÁDAŠI-JÉGÉ. Ladislav;viaf:45478401;1970;1970;;M;T4;65577
NÁDAŠI-JÉGÉ. Ladislav;viaf:45478401;1937;1937;;M;T4;64313
NÁDAŠI-JÉGÉ. Ladislav;viaf:45478401;1973;1973;;M;T4;3765
KOMPIŠ. Peter;viaf:85153916;1929;1929;;M;T4;49767
KOMPIŠ. Peter;viaf:85153916;1926;1926;;M;T4;7097
KOMPIŠ. Peter;viaf:85153916;1936;1936;;M;T4;7272
KOMPIŠ. Peter;viaf:85153916;1925;1925;;M;T4;3170
KOMPIŠ. Peter;viaf:85153916;1934;1934;;M;T4;57261
KOMPIŠ. Peter;viaf:85153916;1938;1938;;M;T4;16695
KOMPIŠ. Peter;viaf:85153916;1931;1931;;M;T4;1256
KOMPIŠ. Peter;viaf:85153916;1928;1928;;M;T4;47618
KOMPIŠ. Peter;viaf:85153916;1926;1926;;M;T4;15065
KUBÁNI. Ľudovít;viaf:19713382;2012;2012;;M;T2;4704
KUBÁNI. Ľudovít;viaf:19713382;2012;2012;;M;T2;3007
KUBÁNI. Ľudovít;viaf:19713382;2012;2012;;M;T2;6391
KUBÁNI. Ľudovít;viaf:19713382;1885;1885;;M;T3;6348
ŠVANTNER. František;viaf:18121520;1946;1946;;M;T4;55541
ŠVANTNER. František;viaf:18121520;1942;1942;;M;T4;6521
PAULINY-TÓTH. Viliam;viaf:31554767;2012;2012;;M;T2;3152
PAULINY-TÓTH. Viliam;viaf:31554767;2012;2012;;M;T2;2770
PAULINY-TÓTH. Viliam;viaf:31554767;2012;2012;;M;T2;6923
PAULINY-TÓTH. Viliam;viaf:31554767;2012;2012;;M;T2;3054
PAULINY-TÓTH. Viliam;viaf:31554767;2012;2012;;M;T2;1416
PRÍDAVOK. Anton;viaf:32804028;2007;2007;;M;T4;8443
PRÍDAVOK. Anton;viaf:32804028;2007;2007;;M;T4;18796
PRÍDAVOK. Anton;viaf:32804028;1938;1938;;M;T4;48551
DOBROSLAV. Chrobák;viaf:13101099;1962;1962;;M;T4;32212
DOBROSLAV. Chrobák;viaf:13101099;1975;1975;;M;T4;16443
JESENSKÝ. Janko;viaf:41884706;1956;1956;;M;T4;19290
JESENSKÝ. Janko;viaf:41884706;1956;1956;;M;T4;50376
JILEMNICKÝ. Peter;viaf:50020047;1937;1937;;M;T4;39166
JILEMNICKÝ. Peter;viaf:50020047;1930;1930;;M;T4;26398
JILEMNICKÝ. Peter;viaf:50020047;1934;1934;;M;T4;89059
SLANČÍKOVÁ-TIMRAVA. Božena;viaf:14806974;1929;1929;;F;T4;35728
SVOBODA. Anton;viaf:306138977;1885;1885;;M;T3;4944
ZECHENTER-LASKOMERSKÝ. Gustáv;viaf:49245103;2012;2012;;M;T2;1681
ZECHENTER-LASKOMERSKÝ. Gustáv;viaf:49245103;2012;2012;;M;T2;3753
ZECHENTER-LASKOMERSKÝ. Gustáv;viaf:49245103;2012;2012;;M;T2;925
ZECHENTER-LASKOMERSKÝ. Gustáv;viaf:49245103;2012;2012;;M;T2;3876
ZECHENTER-LASKOMERSKÝ. Gustáv;viaf:49245103;2012;2012;;M;T2;3903
ZECHENTER-LASKOMERSKÝ. Gustáv;viaf:49245103;2012;2012;;M;T2;3475
ZECHENTER-LASKOMERSKÝ. Gustáv;viaf:49245103;2012;2012;;M;T2;1103
ALEXY. Janko;viaf:55546822;1942;1942;;M;T4;45319
ALEXY. Janko;viaf:55546822;1940;1940;;M;T4;71845
RÁZUS. Martin;viaf:56641816;1947;1947;;M;T4;92297
RÁZUS. Martin;viaf:56641816;1976;1976;;M;T4;80697
RÁZUS. Martin;viaf:56641816;1995;1995;;M;T4;72909
RÁZUS. Martin;viaf:56641816;1947;1947;;M;T4;101674
RÁZUS. Martin;viaf:56641816;1969;1969;;M;T4;93017
RÁZUS. Martin;viaf:56641816;1947;1947;;M;T4;77266
RÁZUS. Martin;viaf:56641816;1947;1947;;M;T4;99111
ČAJAK. Ján;viaf:30914947;1983;1983;;M;T4;96542
ČAJAK. Ján;viaf:30914947;1956;1956;;M;T4;6458
ČAJAK. Ján;viaf:30914947;1956;1956;;M;T4;28260
ČAJAK. Ján;viaf:30914947;1988;1988;;M;T4;3087
ČAJAK. Ján;viaf:30914947;1954;1954;;M;T4;5622
ČAJAK. Ján;viaf:30914947;1988;1988;;M;T4;27338
ČAJAK. Ján;viaf:30914947;1954;1954;;M;T4;7985
ČAJAK. Ján;viaf:30914947;1956;1956;;M;T4;8097
ČERVEŇ. Ján;viaf:48159887;1980;1980;;M;T4;11321
FERIENČÍK ŠTEFAN.;viaf:71234606;2012;2012;;M;T2;13622
IVANKOVÁ. Elena;viaf:84959593;1929;1929;;F;T4;2170
