Author,Name,Bibliography
"Karvaš, Peter",S nami a proti nám,"Karvaš, Peter: S nami a proti nám. Bratislava: Pravda 1950. 116 s."
"Kubáni, Ľudovít",Emigranti,"Kubáni, Ľudovít: Emigranti. In: Valgatha a iné prózy. Bratislava: Slovenské vydavateľstvo krásnej literatúry 1956."
"Kubáni, Ľudovít",Hlad a láska,"Kubáni, Ľudovít: Hlad a láska. In: Valgatha a iné prózy. Bratislava: Slovenské vydavateľstvo krásnej literatúry 1956."
"Kubáni, Ľudovít",Mendík,"Kubáni, Ľudovít: Mendík. In: Valgatha a iné prózy. Bratislava: Slovenské vydavateľstvo krásnej literatúry 1956."
"Kukučín, Martin",Do školy,"Kukučín, Martin: Do školy. Bratislava: Mladé letá 1959."
"Chalupka, Ján","Bendeguz, Gyula Kolompos a Pišta Kurtaforint","Chalupka, Ján: Bendeguz, Gyula Kolompos a Pišta Kurtaforint. Donquijotiáda podľa najnovšej módy. Bratislava: Slovenské vydavateľstvo krásnej literatúry 1953."
"Dobšinský, Pavol","Prostonárodné slovenské povesti zv. 1, 2, 3","Dobšinský, Pavol: Prostonárodné slovenské povesti zv. 1,2,3. Bratislava: Slovenské vydavateľstvo krásnej literatúry 1958."
"Karvaš, Peter",Toto pokolenie,"Karvaš, Peter: Toto pokolenie. Turčiansky sv. Martin: Matica Slovenská 1949. 395 s."
"Kukučín, Martin",Obecné trampoty,"Kukučín, Martin: Obecné trampoty. In: Dielo 1. Bratislava: SVKL 1957. 382 s."
"Kukučín, Martin",Dedinský jarmok,"Kukučín, Martin: Dedinský jarmok. In: Dielo 1. Bratislava: SVKL 1957. 382 s."
"Kukučín, Martin",Na jarmok!,"Kukučín, Martin: Na jarmok! In: Dielo 1. Bratislava: SVKL 1957. 382 s."
"Kukučín, Martin",Na Ondreja,"Kukučín, Martin: Na Ondreja. In: Dielo 1. Bratislava: SVKL 1957. 382 s."
"Zúbek, Ľudo",Doktor Jesenius,"Zúbek, Ľudo: Doktor Jesenius. Bratislava: Slovenské nakladateľstvo detskej knihy 1956. 436 s."
"Ondrejov, Ľudo",Africký zápisník,"Ondrejov, Ľudo: Africký zápisník. Martin: Matica slovenská 1946. 81 s."
"Ondrejov, Ľudo",Horami Sumatry,"Ondrejov, Ľudo: Horami Sumatry. Martin: Matica slovenská 1936. 97 s."
"Suchanský, Peter",Zlaté mesto v pralesoch,"Suchanský, Peter: Zlaté mesto v pralesoch. Bratislava: Učiteľské nakladateľstvo slovenské „U NÁS” 1934."
"Vaško, Alexander",Spútané more,"Vaško, Alexander: Spútané more. Trnava: Spolok sv. Vojtecha 1947. 216 s."
"Váh, Jozef",Jánošík na Tematíne,"Váh, Jozef: Jánošík na Tematíne. Bratislava: Štátne nakladateľstvo 1949. 52 s."
"Vámoš, Gejza",Atómy Boha 1,"Vámoš, Gejza: Atómy Boha 1. Bratislava, Praha, Bratislava: Leopold Mazáč, Sväz slovenského študentstva 1936. 254 s."
"Vámoš, Gejza",Atómy Boha 2,"Vámoš, Gejza: Atómy Boha 2. Praha, Bratislava: Leopold Mazáč, Sväz Slovenského Študentstva 1936. 250 s."
"Vámoš, Gejza",Editino očko,"Vámoš, Gejza: Editino očko. Bratislava, Praha: Sväz Slovenského Študentstva, Leopold Mazáč 1925. 253 s."
"Handzová, Viera",Človečina,"Handzová, Viera: Človečina. Bratislava: Slovenský spisovateľ 1960. 148 s."
"Bednár, Alfonz",Cudzí,"Bednár, Alfonz: Cudzí. Bratislava: Slovenský spisovateľ 1960. 240 s."
"Karvaš, Peter",Pokolenie v útoku,"Karvaš, Peter: Pokolenie v útoku. Bratislava: Slovenský spisovateľ 1956. 620 s."
