date;bib;code;x
2008-06-17-b-1;Karvaš, Peter: S nami a proti nám. Bratislava: Pravda 1950. 116 s.;    3;   
2008-09-11-a-122;Kubáni, Ľudovít: Emigranti. In: Valgatha a iné prózy. Bratislava: Slovenské vydavateľstvo krásnej literatúry 1956.;    3;   
2008-09-11-a-123;Kubáni, Ľudovít: Hlad a láska. In: Valgatha a iné prózy. Bratislava: Slovenské vydavateľstvo krásnej literatúry 1956.;    3;   
2008-09-11-a-124;Kubáni, Ľudovít: Mendík. In: Valgatha a iné prózy. Bratislava: Slovenské vydavateľstvo krásnej literatúry 1956.;    3;   
2008-09-11-a-127;Kukučín, Martin: Do školy. Bratislava: Mladé letá 1959.;    3;   
2008-09-11-a-29;Chalupka, Ján: Bendeguz, Gyula Kolompos a Pišta Kurtaforint. Donquijotiáda podľa najnovšej módy. Bratislava: Slovenské vydavateľstvo krásnej literatúry 1953.;    3;   
2008-09-11-a-53;Dobšinský, Pavol: Prostonárodné slovenské povesti zv. 1,2,3. Bratislava: Slovenské vydavateľstvo krásnej literatúry 1958.;    3;   
2008-11-06-g-1;Karvaš, Peter: Toto pokolenie. Turčiansky sv. Martin: Matica Slovenská 1949. 395 s.;    3;   
2010-02-22-a-1;Kukučín, Martin: Obecné trampoty. In: Dielo 1. Bratislava: SVKL 1957. 382 s.;    3;   
2010-02-22-b-1;Kukučín, Martin: Dedinský jarmok. In: Dielo 1. Bratislava: SVKL 1957. 382 s.;    3;   
2010-02-22-k-1;Kukučín, Martin: Na jarmok! In: Dielo 1. Bratislava: SVKL 1957. 382 s.;    3;   
2010-02-22-l-1;Kukučín, Martin: Na Ondreja. In: Dielo 1. Bratislava: SVKL 1957. 382 s.;    3;   
2010-09-16-a-1;Zúbek, Ľudo: Doktor Jesenius. Bratislava: Slovenské nakladateľstvo detskej knihy 1956. 436 s.;    0;   
2012-09-08-n-1;Ondrejov, Ľudo: Africký zápisník. Martin: Matica slovenská 1946. 81 s.;    0;   
