ID,Author,Authsex,Bibliography,Comment,Conglomerate,Date,Dateorig,Genre,Lang,Medium,Name,Origlang,Subtype,Translation,Type,Dateorig_upraveny
2004-10-11-b-1,Štefan Žáry,msc,"Žáry, Štefan: Apeninský vzduch. Bratislava: Slovenský spisovateľ 1984. 316 s.",,Štefan Žáry - Apeninský vzduch,1984,1955,col,slk,lib,Apeninský vzduch,YYY,pro,org,img,1955
2007-06-20-d-1,Maroš Madačov,msc,"Madačov, Maroš: Pri vianočnom stromčeku. Bratislava: Perfekt 1996. 95 s.",,Maroš Madačov - Pri vianočnom stromčeku,1996,1942,col,slk,lib,Pri vianočnom stromčeku,YYY,pro,org,img,1942
2008-01-11-b-1,Vojtech Zamarovský,msc,"Zamarovský, Vojtech: Za siedmimi divmi sveta. Bratislava: Perfekt 2003. 278 s.",,Vojtech Zamarovský - Za siedmimi divmi sveta,2003,1960,fac,slk,lib,Za siedmimi divmi sveta,YYY,pro,org,img,1960
2008-05-15-x-1,František Hečko,msc,"Hečko, František: Červené víno. Bratislava: Tatran 1968. 698 s.",,František Hečko - Červené víno,1968,1948,nov,slk,lib,Červené víno,YYY,pro,org,img,1948
2008-06-17-b-1,Peter Karvaš,msc,"Karvaš, Peter: S nami a proti nám. Bratislava: Pravda 1950. 116 s.",,Peter Karvaš - S nami a proti nám,1950,1950,nov,slk,lib,S nami a proti nám,YYY,pro,org,img,1950
2008-06-23-a-1,Martin Rázus,msc,"Rázus, Martin: Argumenty. Liptovský Mikuláš: Tranoscius 1993. 79 s.",,Martin Rázus - Argumenty,1993,1932,ess,slk,lib,Argumenty,YYY,pro,org,img,1932
2008-07-03-a-1,Jožo Nižnánsky,msc,"Nižnánsky, Jožo: Právo prvej noci. Bratislava: Media klub 1999. 302 s.",,Jožo Nižnánsky - Právo prvej noci,1999,1937,nov,slk,lib,Právo prvej noci,YYY,pro,org,img,1937
2008-07-24-c-1,Jožo Nižnánsky,msc,"Nižnánsky, Jožo: Studňa lásky. Bratislava: Media klub 1999. 283 s.",,Jožo Nižnánsky - Studňa lásky,1999,1935,nov,slk,lib,Studňa lásky,YYY,pro,org,img,1935
2008-07-24-h-1,Jožo Nižnánsky,msc,"Nižnánsky, Jožo: Žena dvoch mužov. Bratislava: Media klub 2000. 327 s.",,Jožo Nižnánsky - Žena dvoch mužov,2000,1937,nov,slk,lib,Žena dvoch mužov,YYY,pro,org,img,1937
2008-07-24-i-1,Jožo Nižnánsky,msc,"Nižnánsky, Jožo: Cholera. Bratislava: Media klub 1999. 378 s.",,Jožo Nižnánsky - Cholera,1999,1934,nov,slk,lib,Cholera,YYY,pro,org,img,1934
